,movie_id,title,genre,description
422,426,Body Snatchers (1993),Horror Sci-Fi Thriller,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.
423,427,Boxing Helena (1993),Mystery Romance Thriller,"A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion."
424,428,"Bronx Tale, A (1993)",Drama,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
425,429,Cabin Boy (1994),Comedy,A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.
426,430,Calendar Girl (1993),Drama,"Three young men go on an end of the summer trip to Hollywood, California. Their quest: to fulfill the fantasy of meeting Marilyn Monroe."
427,431,Carlito's Way (1993),Crime Drama,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
428,432,City Slickers II: The Legend of Curly's Gold (1994),Comedy Western,"One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets."
429,433,Clean Slate (1994),Comedy,A private eye who suffers total amnesia every twenty-four hours is deeply entangled in a complicated murder and theft case.
430,434,Cliffhanger (1993),Action Adventure Crime,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
431,435,Coneheads (1993),Comedy Sci-Fi,Aliens with conical crania crash-land on Earth.
432,436,Color of Night (1994),Drama Thriller,"A color-blind psychiatrist Bill Capa is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that Capa begins having intense sexual encounters with."
433,437,Cops and Robbersons (1994),Comedy,"A counterfeiter with a habit of ""eliminating"" the competition moves in next door to the Robbersons. Two cops move in with the Robbersons for a stakeout."
434,438,"Cowboy Way, The (1994)",Action Comedy,"As they visit New York City, a pair of cowboys have to become unlikely heroes when their friend is kidnapped."
435,439,Dangerous Game (1993),Drama,"A New York City film director working on his latest movie in Los Angeles begins to reflect the actions in his movie and real life, especially when he begins an affair with the lead actress."
436,440,Dave (1993),Comedy Romance,An uncanny Presidential lookalike named Dave is recruited by the Secret Service to become a momentary stand-in for the President of the United States.
437,441,Dazed and Confused (1993),Comedy,The adventures of high school and junior high students on the last day of school in May 1976.
438,442,Demolition Man (1993),Action Sci-Fi,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
439,443,"Endless Summer 2, The (1994)",Documentary,"Gene Siskel and Roger Ebert review four new movies. Also, Gene Siskel interviews Eddie Murphy about his sagging film career."
440,444,Even Cowgirls Get the Blues (1993),Comedy Romance,"Sissy Hankshaw (Uma Thurman) is born with enormous thumbs that help her hitchhiking through the U.S. from a young age. She becomes a model in advertising, and her New York agent, ""the ..."
441,445,Fatal Instinct (1993),Comedy,A spoof on thrillers from before 1993 such as
442,446,Farewell My Concubine (1993),Drama Romance,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
443,447,"Favor, The (1994)",Comedy Romance,
444,448,Fearless (1993),Drama,A man's personality is dramatically changed after surviving a major airline crash.
445,449,Fear of a Black Hat (1993),Comedy,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group."
446,450,With Honors (1994),Comedy Drama,"Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage."
447,451,Flesh and Bone (1993),Drama Mystery Romance,"Decades later, a son of a killer falls in love with a girl, whose family's horrifying murder he saw in childhood."
448,452,Widows' Peak (1994),Drama,"In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster."
449,453,For Love or Money (1993),Comedy,"Doug's a concierge at a luxury hotel on Manhattan. He saves all his tips towards his plan for a hotel. A potential investor seduces the girl, Doug loves, with false promises of leaving his wife. Doug's dilemma: hotel project or girl?"
450,454,"Firm, The (1993)",Drama Thriller,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
451,455,Free Willy (1993),Adventure Children's Drama,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale."
452,456,Fresh (1994),Drama,"Death and violence anger a twelve-year-old drug courier, who sets his employers against each other."
453,457,"Fugitive, The (1993)",Action Thriller,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
454,458,Geronimo: An American Legend (1993),Drama Western,The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.
455,459,"Getaway, The (1994)",Action,An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.
456,460,Getting Even with Dad (1994),Comedy,A thief's son cons his father into spending more time with him.
457,461,Go Fish (1994),Drama Romance,"Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in ..."
458,462,"Good Man in Africa, A (1994)",Action Adventure,"In a West African nation, the womanizing British 1st Secretary of the High Commissioner deals with different issues."
459,463,Guilty as Sin (1993),Crime Drama Thriller,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another."
460,464,Hard Target (1993),Action Adventure Crime Thriller,"A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process."
461,465,Heaven & Earth (1993),Action Drama War,"A woman takes the law into her own hands after police ignore her pleas to arrest the man responsible for her husband's death, and finds herself not only under arrest for murder but falling in love with an officer."
462,466,Hot Shots! Part Deux (1993),Action Comedy War,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams."
463,467,Live Nude Girls (1995),Comedy,"Georgina throws a sleepover party for her friend Jamie, a moderately successful actress, on the night of Jamie's fiancée's bachelor party. Jill, Jamie, Marcy, Rachel, and Georgina have been..."
464,468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy Romance,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that."
465,469,"House of the Spirits, The (1993)",Drama Romance,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller."
466,470,House Party 3 (1994),Comedy,"Kid, after a lifetime 'playing the field', is about to get married. 'Play' plans to throw the best bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing them what parties are all about."
467,471,"Hudsucker Proxy, The (1994)",Comedy Romance,
468,472,I'll Do Anything (1994),Comedy Drama,"An aspiring actor has his life turned upside down when his ex-wife dumps off their bossy, wild daughter into his custody."
469,473,In the Army Now (1994),Comedy War,Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.
470,474,In the Line of Fire (1993),Action Thriller,Secret Service agent Frank Horrigan (
471,475,In the Name of the Father (1993),Drama,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
472,476,"Inkwell, The (1994)",Comedy Drama,"A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls."
473,477,What's Love Got to Do with It? (1993),Drama,Malony's involvement with Laura's case leads to tragedy; Olivia is offered a TV commentator job; Leon represents a lesbian fighting for her deceased partner's pension.
474,478,Jimmy Hollywood (1994),Comedy,"A failing actor living in crime infested Los Angeles, frustrated with his career, decides to take the law into his own hands, and becomes the leader of a mock-vigilante group that videotapes criminals and turns them over to the police."
475,479,Judgment Night (1993),Action,"Four friends on their way to a boxing match get caught in heavy traffic, so they take a shortcut in order to get there faster, unfortunately it leads to them witnessing a murder which leaves them running for their lives."
476,480,Jurassic Park (1993),Action Adventure Sci-Fi,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
477,481,Kalifornia (1993),Drama Thriller,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself."
478,482,Killing Zoe (1994),Thriller,
479,483,King of the Hill (1993),Drama,A young boy struggles on his own in a run-down motel after his parents and younger brother are separated from him in 1930s Depression-era Midwest.
480,484,Lassie (1994),Adventure Children's,"When a family of 4 moves from Baltimore to a farm in rural Virginia, they adopt an abandoned collie. The dog becomes the son's companion and protector, helping him adapt to rural life."
481,485,Last Action Hero (1993),Action Comedy,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character."
482,486,Life with Mikey (1993),Comedy,A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.
483,487,Lightning Jack (1994),Comedy Western,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how ..."
484,488,M. Butterfly (1993),Drama,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks."
485,489,Made in America (1993),Comedy,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white."
486,490,Malice (1993),Thriller,"A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor."
487,491,"Man Without a Face, The (1993)",Drama,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.
488,492,Manhattan Murder Mystery (1993),Comedy Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.
489,493,Menace II Society (1993),Action Crime Drama,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.
490,494,Executive Decision (1996),Action Thriller,"When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation."
491,495,In the Realm of the Senses (Ai no corrida) (1976),Drama,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship."
492,496,What Happened Was... (1994),Comedy Drama Romance,"This darkly humorous film explores the personal psychic landscape of two lonely New Yorkers. Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner ..."
493,497,Much Ado About Nothing (1993),Comedy Romance,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well."
494,498,Mr. Jones (1993),Drama Romance,"After being arrested during a manic episode, a man who suffers from bipolar disorder is treated by a psychiatrist who begins to develop romantic feelings towards him."
495,499,Mr. Wonderful (1993),Comedy Romance,"In an attempt to end alimony payments, a working class man tries to set up his ex wife with potential husbands."
496,500,Mrs. Doubtfire (1993),Comedy,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
497,501,Naked (1993),Drama,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life."
498,502,"Next Karate Kid, The (1994)",Action Children's,Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.
499,503,"New Age, The (1994)",Drama,"Episodic story about a yuppie couple who're going broke, and can't decide if they want to stay together - but openly sleep around and experiment with different lifestyles, or not."
500,504,No Escape (1994),Action Sci-Fi,A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.
501,505,North (1994),Comedy,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents."
502,506,Orlando (1993),Drama,
503,507,"Perfect World, A (1993)",Action Drama,"Kidnapped boy Phillip Perry (T.J. Lowther) strikes up a friendship with his captor Butch Haynes (Kevin Costner): an escaped convict on the run from the law, while the search is headed up by honorable Texas Ranger ""Red"" Garrett (Clint Eastwood)."
504,508,Philadelphia (1993),Drama,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
505,509,"Piano, The (1993)",Drama Romance,"In the mid-19th century, a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation."
506,510,Poetic Justice (1993),Drama,"In this movie, we see the world through the eyes of main character Justice (Janet Jackson), a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run."
507,511,"Program, The (1993)",Action Drama,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying."
508,512,Robert A. Heinlein's The Puppet Masters (1994),Horror Sci-Fi,"The Earth is invaded by stingray-shaped alien ""slugs"" that ride on people's backs and control their minds."
509,513,Radioland Murders (1994),Comedy Mystery Romance,A series of mysterious crimes confuses existence of a radio network.
510,514,"Ref, The (1994)",Comedy,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve."
511,515,"Remains of the Day, The (1993)",Drama,
512,516,Renaissance Man (1994),Comedy Drama War,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.
513,517,Rising Sun (1993),Action Drama Mystery,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham."
514,518,"Road to Wellville, The (1994)",Comedy,"A story about the ins and outs of one unusual health facility in the early twentieth century, run by the eccentric Dr. John Harvey Kellogg."
515,519,Robocop 3 (1993),Sci-Fi Thriller,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land."
516,520,Robin Hood: Men in Tights (1993),Comedy,"A spoof of Robin Hood in general, and"
517,521,Romeo Is Bleeding (1993),Crime Thriller,"A womanizing, crooked cop on the payroll of the mafia is confronted with the reality of his double life after he is asked to kill a beautiful and ruthless Russian gangster."
518,522,Romper Stomper (1992),Action Drama,A group of skinheads become alarmed at the way their neighbourhood is changing.
519,523,Ruby in Paradise (1993),Drama,A young woman struggles for independence and identity in a small Florida tourist town.
520,524,Rudy (1993),Drama,Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.
521,525,"Saint of Fort Washington, The (1993)",Drama,A homeless schizophrenic seeks the help of a streetwise combat veteran as they attempt to overcome cruel life on the streets.
522,526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,A bitter story of a young man's crisis.
523,527,Schindler's List (1993),Drama War,"In German-occupied Poland during World War II, industrialist"
524,528,"Scout, The (1994)",Drama,The story of a baseball scout who discovers a talented but troubled baseball player.
525,529,Searching for Bobby Fischer (1993),Drama,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.
526,530,Second Best (1994),Drama,"Graham, a lonely Welsh postal worker, adopts James, a troubled ten-year-old boy. Graham always wanted a son, but James loves his biological father too much to give Graham a chance. Will the two be able to accept each other as family?"
527,531,"Secret Garden, The (1993)",Children's Drama,"In beautiful, historic Kingston, Ontario, the Secret Garden bed and breakfast holds more secrets than it first appears. This four-storey turn of the century mansion hides the spirits of a ..."
528,532,Serial Mom (1994),Comedy Crime Horror,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her children happy."
529,533,"Shadow, The (1994)",Action,
530,534,Shadowlands (1993),Drama Romance,
531,535,Short Cuts (1993),Drama,The day-to-day lives of several suburban Los Angeles residents.
532,536,"Simple Twist of Fate, A (1994)",Drama,"His life was emotionally closed off from the world, until an orphaned baby showed up at his house."
533,537,Sirens (1994),Comedy Drama,"When a painting is termed blasphemous, a young minister and his wife visit the artist... and the three sexually playful models living with him."
534,538,Six Degrees of Separation (1993),Drama,"An affluent New York City couple finds their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is."
535,539,Sleepless in Seattle (1993),Comedy Romance,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
536,540,Sliver (1993),Thriller,"A woman moves into an exclusive New York City apartment building, which she soon discovers houses tenants with all manner of shocking secrets."
537,541,Blade Runner (1982),Film-Noir Sci-Fi,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
538,542,Son in Law (1993),Comedy,"Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town."
539,543,So I Married an Axe Murderer (1993),Comedy Romance Thriller,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.
540,544,Striking Distance (1993),Action,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom."
541,545,Harlem (1993),Drama,"A drug dealer tries to get out of the life and start anew with his girlfriend, but the transition is tragically difficult."
542,546,Super Mario Bros. (1993),Action Adventure Children's Sci-Fi,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world."
543,547,Surviving the Game (1994),Action Adventure Thriller,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey."
544,548,Terminal Velocity (1994),Action,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.
545,549,Thirty-Two Short Films About Glenn Gould (1993),Documentary,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist."
546,550,Threesome (1994),Comedy Romance,"A girl named Alex is by mistake housed with 2 guys, Stuart and Eddy, in a college dorm suite. After initial problems they become friends. Stuart has the hots for Alex, Alex for Eddy and Eddy for Stuart. Can it work?"
547,551,"Nightmare Before Christmas, The (1993)",Children's Comedy Musical,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
548,552,"Three Musketeers, The (1993)",Action Adventure Comedy,
549,553,Tombstone (1993),Western,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
550,554,Trial by Jury (1994),Thriller,"Valerie is a juror in the trial of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done."
551,555,True Romance (1993),Action Crime Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it."
552,556,"War Room, The (1993)",Documentary,A documentary of the Bill Clinton 1992 presidential campaign and the organization who ran it.
553,557,Mamma Roma (1962),Drama,"Having renounced her ignominious past, a former streetwalker reunites with her son. However, an extortion scheme endangers her aspirations for a decent bourgeois life. Can she protect him from the same snares that wounded her youth?"
554,558,"Pagemaster, The (1994)",Action Adventure Animation Children's Fantasy,"A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real-life."
555,559,"Paris, France (1993)",Comedy,"Lucy (Leslie Hope), her husband Michael (Victor Ertmanis), and their business partner William (Dan Left) are the owners of a small publishing company in Toronto. The stability of their ..."
556,560,"Beans of Egypt, Maine, The (1994)",Drama,"Reuben is a drinker and brawler who runs afoul of the law and lands a long prison term. He leaves behind Roberta (Kelly Lynch), his wife and mother of nine. Also part of the extended family..."
557,561,Killer (Bulletproof Heart) (1994),Thriller,"A professional assassin, having just ""cleaned up"" a botched ""job,"" is pressured into another new assignment by his boss. He is beginning to find himself off-balanced and self-questioning ..."
558,562,Welcome to the Dollhouse (1995),Comedy Drama,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jersey."
559,563,Germinal (1993),Drama,"In mid-nineteenth-century northern France, a coal mining town's workers are exploited by the mine's owner. One day, they decide to go on strike, and the authorities repress them."
560,564,Chasers (1994),Comedy,A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.
561,565,Cronos (1992),Horror, Tanya 
562,566,Naked in New York (1994),Comedy Romance,"Jake meets Joanne in college. He's into theater, writing plays. She's into photography. They move in together etc. She meets Elliot, owner of a big gallery, works for him and things change."
563,567,Kika (1993),Drama,"Kika, a cute cosmetologist, prepares Ramon for funeral when he revives. He proposes to the much older Kika who has his dad as lover. Did Ramon's dad murder his mom? What about the escaped rapist and the PSYCHOlogist video reporter?"
564,568,Bhaji on the Beach (1993),Comedy Drama,"A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool. The events of the day lead them to better mutual understanding and solidarity."
565,569,Little Big League (1994),Children's Comedy,A young boy is bequeathed the ownership of a professional baseball team.
566,570,"Slingshot, The (K�disbellan ) (1993)",Comedy Drama, Tanya 
567,571,"Wedding Gift, The (1994)",Drama, Tanya 
568,572,Foreign Student (1994),Drama,A French football playing exchange student falls in love.
569,573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama, Tanya 
570,574,Spanking the Monkey (1994),Comedy Drama,"A med student is forced by his traveling salesman dad to cancel a top summer internship and look after his hot mom, who's bedridden with a broken leg. Applying lotion to her legs arouses him."
571,575,"Little Rascals, The (1994)",Children's Comedy,
572,576,Fausto (1993),Comedy,"Fausto enters an orphanage and is initially bullied, but then makes friends with a new bunkmate, Raymond. He is apprenticed to Mietek, a tailor in the Jewish quarter, who teaches him the ..."
573,577,Andre (1994),Adventure Children's,"The true story of how a seal named Andre befriended a little girl and her family, circa 1962."
574,578,"Hour of the Pig, The (1993)",Drama Mystery,"In medieval France, young lawyer Richard Courtois leaves Paris for the simpler life in the country. However, he is soon drawn into amorous and political intrigues. At the same time, he is ..."
575,579,"Scorta, La (1993)",Thriller,"A dedicated, tightly-knit group of bodyguards take on additional duties while safeguarding an honest judge designated to investigate official corruption in Sicily."
576,580,Princess Caraboo (1994),Drama,"A mysterious young woman speaking a strange language shows up in an English village, where she is taken in by aristocrats who assume she is a foreign princess"
577,581,"Celluloid Closet, The (1995)",Documentary,
578,582,Metisse (Caf� au Lait) (1993),Comedy, Tanya 
579,583,Dear Diary (Caro Diario) (1994),Comedy Drama, Tanya 
580,584,I Don't Want to Talk About It (De eso no se habla) (1993),Drama,"Leonor, a widow in a small South American town, gives birth to Charlotte, a dwarf. The mother not only provides a rich childhood for her daughter, she erases any clues her daughter might ..."
581,585,"Brady Bunch Movie, The (1995)",Comedy,"The original 70s TV family is now placed in the 1990s, where they're even more square and out of place than ever."
582,586,Home Alone (1990),Children's Comedy,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
583,587,Ghost (1990),Comedy Romance Thriller,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
584,588,Aladdin (1992),Animation Children's Comedy Musical,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
585,589,Terminator 2: Judgment Day (1991),Action Sci-Fi Thriller,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
586,590,Dances with Wolves (1990),Adventure Drama Western,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
587,591,Tough and Deadly (1995),Action Drama Thriller,"Elmo Freech is a private investigator and was contracted by John Portland, a CIA agent who suffers amnesia, in oder to reveale a dubious case of drug smuggling in which are involved big ..."
588,592,Batman (1989),Action Adventure Crime Drama,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker."
589,593,"Silence of the Lambs, The (1991)",Drama Thriller,"Today, Rob looks at the Academy Award winning Silence Of The Lambs; starring Anthony Hopkins and Jodie Foster in tremendous groundbreaking performances in a truly terrifying picture."
590,594,Snow White and the Seven Dwarfs (1937),Animation Children's Musical,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
591,595,Beauty and the Beast (1991),Animation Children's Musical,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
592,596,Pinocchio (1940),Animation Children's,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
593,597,Pretty Woman (1990),Comedy Romance,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
594,598,Window to Paris (1994),Comedy,"Nikolay (played by Sergei Dontsov) has been fired from his job as a music teacher and has to live in the gym until he finds a place to stay. Finally, he gets a communal room in the ..."
595,599,"Wild Bunch, The (1969)",Western,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
596,600,Love and a .45 (1994),Thriller,"A small time crook flees to Mexico to evade the authorities, loan sharks, and his murderous ex-partner with only his fiancé and a trusted Colt .45."
597,601,"Wooden Man's Bride, The (Wu Kui) (1994)",Drama,"Camels carry a bride to her groom's house; he is a wealthy tofu maker and the bride's father is in debt to him. Leading the caravan is Kui, a strong, courageous, and naive peasant. Bandits ..."
598,602,"Great Day in Harlem, A (1994)",Documentary,"The documentary compiles interviews of all the top jazz musicians in NYC in the year 1958, for a piece in Esquire magazine."
599,603,"Bye Bye, Love (1995)",Comedy,"A story about the family breakup of three divorced men. The film presented their perspective and it reveals their relationship with their children, ex-wives, girl friends, male friendships, and their identities as divorced men."
600,604,Criminals (1996),Documentary,"Who knows what evil lurks in the hearts of men? World's Dumbest knows! Join Leif Garrett, Todd Bridges and Tonya Harding and the rest of the celebrity cast as they lampoon the World's ..."
601,605,One Fine Day (1996),Drama Romance,"The lives of two strangers and their young children unexpectedly intersect on one hectic, stressful day in New York City."
602,606,Candyman: Farewell to the Flesh (1995),Horror,The Candyman arrives in New Orleans and sets his sights on a young woman whose family was ruined by the immortal killer years before.
603,607,Century (1993),Drama,"Paul Reisner, a young doctor, becomes a researcher in a prestigious medical institute. He feels he has a chance to be part of a movement of unending progress in science and civilization. ..."
604,608,Fargo (1996),Crime Drama Thriller,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
605,609,Homeward Bound II: Lost in San Francisco (1996),Adventure Children's,"When adventurous pets Chance, Shadow and Sassy are accidentally separated from their vacationing owners, they're left to fend for themselves on the mean streets of San Francisco, in search for the ""golden bridge"" that will take them home."
606,610,Heavy Metal (1981),Action Adventure Animation Horror Sci-Fi,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror."
607,611,Hellraiser: Bloodline (1996),Action Horror Sci-Fi,"In the 22nd century, a scientist attempts to right the wrong his ancestor created: the puzzle box that opens the gates of Hell and unleashes Pinhead and his Cenobite legions."
608,612,"Pallbearer, The (1996)",Comedy,"A young man's life is thrown into a loop when he is asked to be a pallbearer for the funeral of a classmate he doesn't remember, and his old high school crush temporarily returns to town."
609,613,Jane Eyre (1996),Drama Romance,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to become a teacher and eventually seeks ..."
610,614,Loaded (1994),Drama Thriller,"Seven teenagers retreat to a country house for the weekend to make their epic, an impossibly ambitious Celtic fantasy. As the making of the video drifts from playful hilarity to argument, ..."
611,615,Bread and Chocolate (Pane e cioccolata) (1973),Drama, Tanya 
612,616,"Aristocats, The (1970)",Animation Children's,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
613,617,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",Drama,"Leo writes trashy romance novels under a pseudonym but as she struggles in her relationship with her husband, she finds her output becoming darker."
614,618,Two Much (1996),Comedy Romance,
615,619,Ed (1996),Comedy,A trained chimpanzee plays third base for a minor-league baseball team.
616,620,Scream of Stone (Schrei aus Stein) (1991),Drama,"Two famous competitive climbers make a bet on who can climb Cerro Torre, one of the most dangerous mountains in Argentina and the world, first. As the day of the climb approaches, their increasing competitiveness becomes destructive."
